id,k2_mode,k1T_mode,k2T_mode,k3T_mode,k1e_mode,k2e_mode,k3e_mode,k12_mode,k23_mode,k24T_mode,k34T_mode,k3_mode,V1_mode,V2_mode,V3_mode,V3T_mode,V4T_mode,beta,EC50,delta,k,EC50b,pi,deltab,pib,rhob,rb,tau,tau_RDV,tau_RDV_BAL,CAT
RM1,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,989.681,1.00E-10,155.804,7.85985,0.0027725,1.13E-07,1.72E-05,0.00341003,5.75E-05,-6.73,0.339933,0.969196,0.0852938,0.339933,2.75626,0.373926,1.14714,1.29E-07,2,0.00556605,0.287131,0.0893692,TR
RM2,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,989.951,1.00E-10,161.391,7.85985,0.00277781,1.14E-07,1.75E-05,0.00365472,5.76E-05,-6.73,0.339933,2.33935,0.0875948,0.339933,2.69818,0.395702,1.08924,1.31E-07,2,0.00556605,0.28176,0.0893049,TR
RM3,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,989.66,1.00E-10,164.111,7.85985,0.00277855,1.14E-07,1.72E-05,0.00378776,5.75E-05,-6.73,0.339933,0.825806,0.0890285,0.339933,2.79569,0.460748,1.04733,1.43E-07,2,0.00556605,0.292232,0.089453,TR
RM4,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,989.987,1.00E-10,179.159,7.85985,0.00278011,1.14E-07,1.77E-05,0.0044932,5.76E-05,-6.73,0.339933,0.921968,0.0866422,0.339933,2.80488,0.413413,1.10193,1.29E-07,2,0.00556605,0.291458,0.0893521,TR
RM5,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,990.145,1.00E-10,167.917,7.85985,0.00277763,1.14E-07,1.77E-05,0.00396557,5.75E-05,-6.73,0.339933,0.960247,0.0901325,0.339933,2.78439,0.490628,1.06416,1.44E-07,2,0.00556605,0.290535,0.0895301,TR
RM6,1,33.0132,5860.54,1.00E-10,0.0217156,12.3218,1.00E-10,1.0251,989.806,1.00E-10,181.574,7.85985,0.00278554,1.14E-07,1.79E-05,0.00464216,5.75E-05,-6.73,0.339933,0.908939,0.0871826,0.339933,2.7867,0.418146,0.859259,1.38E-07,2,0.00556605,0.29047,0.0889317,TR
